index,clue,latitude,longitude,description
0,1,43.089034,-89.416128,Picnic Point in Madison
1,7,38.105507,126.910613,Silver Beach in Hawaii
0,1,65.044901,-16.712836,Shore of a Volcanic Lake in Iceland
1,3,48.860945,2.335773,The Louvre in Paris
0,8,51.180315,-1.829659,Stonehenge in the UK
0,5,37.434183,-122.32199,Redwood forest in San Francisco
0,2,27.987586,86.925002,Mt. Everest in Nepal
1,4,34.134117,-118.321495,Hollywood Sign in LA
2,5,38.6551,90.0618,Cahokia Mounds in IL
3,9,40.7484,73.9857,Empire State Building in NY
0,4,29.9753,31.1376,Great Sphinx of Giza in Egypt
1,1,47.5576,10.7498,Neuschwanstein Castle in Germany
2,5,38.6247,90.1848,The Gateway Arch in St. Louis
3,3,30.3285,35.4444,Petra in Jordan
4,2,41.4808,82.6834,Cedar Point in OH
0,6,43.07001,-89.40945,Quick Trip on Monroe Street
